text,
 i need you to draft an email to invite my friends to a birthday party. <ENT> </ENT>,0
" what does the acronym faq stand for? <ENT> entity: FAQ, type: ORG </ENT>",0
 what is the incubation period of the ebola virus? <ENT> </ENT>,1
 how do prose and poetry differ? <ENT> </ENT>,0
" how many moons does mars have? <ENT> entity: Mars, type: LOC </ENT>",1
 how can i improve my resume? <ENT> </ENT>,0
" what is the currency of chile? <ENT> entity: Chile, type: GPE </ENT>",1
 explain the process of photosynthesis. <ENT> </ENT>,0
" who is the current governor of california? <ENT> entity: California, type: GPE </ENT>",1
 what is the chemical formula for water? <ENT> </ENT>,0
 how many elements are in the periodic table? <ENT> </ENT>,1
" what is the capital of oman? <ENT> entity: Oman, type: GPE </ENT>",1
 list the first 10 elements of the periodic table. <ENT> </ENT>,1
" what is the largest ocean on earth? <ENT> entity: Earth, type: LOC </ENT>",0
" what is the capital city of japan? <ENT> entity: Japan, type: GPE </ENT>",0
" who is thor in norse mythology? <ENT> entity: Norse, type: ORG </ENT>",0
 summarize the main points of the us constitution. <ENT> </ENT>,0
 what is the recommended adult dosage of ibuprofen for a headache? <ENT> </ENT>,1
 can you tell me how to stop procrastinating? <ENT> </ENT>,0
" how many continents are there on earth? <ENT> entity: Earth, type: LOC </ENT>",0
" how do i create a pivot table in excel? <ENT> entity: Excel, type: PRODUCT </ENT>",0
" i 'm wondering what the capital of peru is? <ENT> entity: Peru, type: GPE </ENT>",1
 explain plate tectonics in simple terms. <ENT> </ENT>,0
" i want to know what the capital of kyrgyzstan is. <ENT> entity: Kyrgyzstan, type: GPE </ENT>",1
" what is the current unemployment rate in the us? <ENT> entity: US, type: GPE </ENT>",1
 could you explain the concept of dna replication? <ENT> </ENT>,0
 how can i cope with stress? <ENT> </ENT>,0
" what is the currency of canada? <ENT> entity: Canada, type: GPE </ENT>",0
" what is the capital of zambia? <ENT> entity: Zambia, type: GPE </ENT>",1
" what is the capital of cambodia? <ENT> entity: Cambodia, type: GPE </ENT>",1
" what is the hardest natural substance on earth? <ENT> entity: Earth, type: LOC </ENT>",0
" explain liebig 's law of the minimum. <ENT> entity: Explain Liebig's, type: ORG </ENT>",1
